rank,frequency,word,pos
1274,-1,수단,명사
1277,-1,자,감탄사
1278,-1,자유롭다,형용사
1279,-1,적극적,명사
1280,-1,판매,명사
1281,-1,형성,명사
1282,-1,기울이다,동사
1283,-1,길이,명사
1284,-1,장면,명사
1285,-1,점차,부사
1288,-1,관련되다,동사
1289,-1,급,명사
1290,-1,나머지,명사
1291,-1,날씨,명사
1293,-1,더불다,동사
1294,-1,동물,명사
1295,-1,의사,명사
1296,-1,개방,명사
1297,-1,건강하다,형용사
1298,-1,미래,명사
1299,-1,앞서,부사
1300,-1,여러분,대명사
1301,-1,왜냐하면,부사
1302,-1,인구,명사
1303,-1,기대하다,동사
1304,-1,네,관사
1305,-1,도착하다,동사
1306,-1,병,명사
1307,-1,소프트웨어,명사
1308,-1,흘리다,동사
1309,-1,반응,명사
1310,-1,주인공,명사
1311,-1,당연하다,형용사
1312,-1,따뜻하다,형용사
1313,-1,따로,부사
